'Create Fine', 'Send Fine', 103392
'Send Fine', 'Insert Fine Notification', 79757
'Insert Fine Notification', 'Add penalty', 72334
'Add penalty', 'Send for Credit Collection', 57182
'Create Fine', 'Payment', 46952
'Add penalty', 'Payment', 18621
'Payment', 'Payment', 4306
'Payment', 'Add penalty', 3902
'Insert Fine Notification', 'Payment', 3891
'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 3327
'Send Fine', 'Payment', 3300
'Insert Date Appeal to Prefecture', 'Add penalty', 2933
'Add penalty', 'Send Appeal to Prefecture', 2915
'Payment', 'Send for Credit Collection', 1538
'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 1159
'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 829
'Add penalty', 'Insert Date Appeal to Prefecture', 658
'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 606
'Payment', 'Send Fine', 569
'Notify Result Appeal to Offender', 'Payment', 391
'Add penalty', 'Receive Result Appeal from Prefecture', 351
'Send Appeal to Prefecture', 'Add penalty', 347
'Insert Fine Notification', 'Appeal to Judge', 290
'Appeal to Judge', 'Add penalty', 281
'Notify Result Appeal to Offender', 'Send for Credit Collection', 257
'Send Fine', 'Insert Date Appeal to Prefecture', 161
'Notify Result Appeal to Offender', 'Appeal to Judge', 145
'Add penalty', 'Appeal to Judge', 80
'Payment', 'Insert Fine Notification', 74
'Appeal to Judge', 'Payment', 70
'Add penalty', 'Notify Result Appeal to Offender', 53
'Receive Result Appeal from Prefecture', 'Add penalty', 51
'Receive Result Appeal from Prefecture', 'Payment', 36
'Insert Date Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 35
'Appeal to Judge', 'Send for Credit Collection', 32
'Insert Date Appeal to Prefecture', 'Insert Fine Notification', 25
'Create Fine', 'Insert Date Appeal to Prefecture', 22
'Send Appeal to Prefecture', 'Payment', 20
'Send for Credit Collection', 'Send Appeal to Prefecture', 16
'Insert Fine Notification', 'Send Appeal to Prefecture', 16
'Appeal to Judge', 'Insert Date Appeal to Prefecture', 15
'Insert Date Appeal to Prefecture', 'Send Fine', 15
'Receive Result Appeal from Prefecture', 'Send Appeal to Prefecture', 15
'Insert Date Appeal to Prefecture', 'Payment', 14
'Receive Result Appeal from Prefecture', 'Appeal to Judge', 13
'Notify Result Appeal to Offender', 'Add penalty', 12
'Send Fine', 'Appeal to Judge', 10
'Appeal to Judge', 'Notify Result Appeal to Offender', 9
'Appeal to Judge', 'Send Appeal to Prefecture', 9
'Send Appeal to Prefecture', 'Send Fine', 7
'Insert Date Appeal to Prefecture', 'Appeal to Judge', 7
'Payment', 'Send Appeal to Prefecture', 4
'Create Fine', 'Appeal to Judge', 4
'Appeal to Judge', 'Send Fine', 4
'Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 4
'Send Fine', 'Send Appeal to Prefecture', 4
'Send Appeal to Prefecture', 'Insert Fine Notification', 4
'Send Appeal to Prefecture', 'Appeal to Judge', 4
'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 3
'Send Appeal to Prefecture', 'Send for Credit Collection', 3
'Payment', 'Receive Result Appeal from Prefecture', 2
'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 2
'Insert Fine Notification', 'Receive Result Appeal from Prefecture', 2
'Payment', 'Insert Date Appeal to Prefecture', 2
'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture', 2
'Payment', 'Appeal to Judge', 2
'Receive Result Appeal from Prefecture', 'Send for Credit Collection', 1
'Appeal to Judge', 'Receive Result Appeal from Prefecture', 1
'Payment', 'Notify Result Appeal to Offender', 1
'Receive Result Appeal from Prefecture', 'Insert Date Appeal to Prefecture', 1